gw,saya
lu,kamu
ngga,tidak
yoi,iya
bokap,ayah
nyokap,ibu
jgn,jangan
bgt,banget
blm,belum
yok,ayo
mang,mas
bro,saudara
cuy,teman
gan,agang
sis,sista
lg,lagi
tp,tapi
sm,sama
kyk,seperti
jg,juga
bs,bisa
bgs,bagus
brg,barang
skrg,sekarang
td,tadi
ngapain,sedang apa
cb,coba
bkn,bukan
lmyn,lumayan
krn,karena
sdgkn,sedangkan
stlh,setelah
sp,siapa
msh,masih
pngn,pengen
ktmu,ketemu
bgtu,begitu
tpi,tapi
lgi,lagi
skt,sakit
mkn,makan
nmr,nomor
tlp,telepon
rmh,rumah
sklh,sekolah
ngrjain,ngerjain
tmn2,teman-teman
dsb,dan sebagainya
dll,dan lain-lain
jgn,jangan
algorithma,algoritma
yg,yang
y,ya
dg,dengan
dlm,dalam
asingdengan,asing dengan
bsa,bisa
pohara,terlalu
blas,sama sekali
